job title,company,location,date,job type and skills,link to apply
Accountant Costing Manager,Smart Solutions,"New Cairo, Cairo, Egypt ",17 days ago,Full timeManager · 10 - 12 Yrs of Exp · Cost Control · Accounting · CMA · Construction · Finance · Financial Analysis · Financial Management · Accounting/Finance,https://wuzzuf.net/jobs/p/jPiIYZnasO3l-Accountant-Costing-Manager-Smart-Solutions-Cairo-Egypt?o=233&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Financial Analyst,National Paints,"Obour City, Cairo, Egypt ",1 month ago,Full timeExperienced · 4 - 6 Yrs of Exp · Accounting · Analysis · Financial Analysis · Financial · Finance · CPA · CMA · Commerce · SAP · Reporting,https://wuzzuf.net/jobs/p/j7FDTb2gMMab-Financial-Analyst-National-Paints-Cairo-Egypt?o=234&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
AR Accountant,Taager,"Maadi, Cairo, Egypt ",26 days ago,Full timeExperienced · 3+ Yrs of Exp · Accounting · AR · Finance · Commerce · E-Commerce · Financial Analysis · Bookkeeping · Computer Skills · Accounting/Finance,https://wuzzuf.net/jobs/p/VT0ZG2kGBrTm-AR-Accountant-Taager-Cairo-Egypt?o=235&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Maintenance Engineer /Technician,Etisal EG,"New Cairo, Cairo, Egypt ",1 month ago,Full timeEntry Level · 1 - 2 Yrs of Exp · males_only · English · Data Driven · Data Analysis · Ads · Maintenance · Engineering · Arabic · Hardware · Computer Skills · Mechanical Engineering,https://wuzzuf.net/jobs/p/TDZ8K0AIlF2J-Maintenance-Engineer-Technician-Etisal-EG-Cairo-Egypt?o=236&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
IT Manager,Exception Patisserie,"6th of October, Giza, Egypt ",1 month ago,Full timeManager · 12+ Yrs of Exp · males_only · IT · Project Management · Information Technology (IT) · Computer Science · Software · Analysis · Computer Hardware · Technical · Restaurants · Hospitality,https://wuzzuf.net/jobs/p/tK1dS92Fwjho-IT-Manager-Exception-Patisserie-Giza-Egypt?o=237&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Junior Construction Accountant,BuildIn,"Heliopolis, Cairo, Egypt ",28 days ago,Full timeExperienced · 2 - 4 Yrs of Exp · Finance · Accounting · Microsoft Office · Construction · Financial Analysis · Financial · Financial Reporting · MS Office · Computer Skills · Accounting/Finance,https://wuzzuf.net/jobs/p/BfElPP4nUIvX-Junior-Construction-Accountant-BuildIn-Cairo-Egypt?o=238&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Junior Accountant,Confidential -,"New Cairo, Cairo, Egypt ",1 month ago,Full timeExperienced · 2+ Yrs of Exp · males_preferred · accountant · Accounting · Accounting Software · Commerce · Construction · Finance · Financial Analysis · ERP · Accounting/Finance · Banking,https://wuzzuf.net/jobs/p/BXOtrVilaP18-Junior-Accountant-Cairo-Egypt?o=239&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Junior Accountant,Confidential -,"Maadi, Cairo, Egypt ",1 month ago,Full timeEntry Level · 1 - 3 Yrs of Exp · Accounting · Financial Analysis · Auditing · Finance · Analytical · Microsoft Office · Accounting/Finance,https://wuzzuf.net/jobs/p/d6qbzZtLlRD7-Junior-Accountant-Cairo-Egypt?o=240&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Research Coordinator,Nile University,"Sheikh Zayed, Giza, Egypt ",1 month ago,Full timeEntry Level · 1 - 4 Yrs of Exp · University Ranking · Education · Administration · English · Engineering · Research · Market Research · Marketing · E-marketing · Social Media,https://wuzzuf.net/jobs/p/Upk4PhgZMXa5-Research-Coordinator-Nile-University-Giza-Egypt?o=451&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Vendor Support Specialist,My Mall,"Cairo, Egypt ",16 days ago,Full timeEntry Level · 1 - 2 Yrs of Exp · Advertising · Branding · Commerce · Communication · Communication skills · Market Research · Marketing · Skills · E- Commerce · E-Commerce,https://wuzzuf.net/jobs/p/ADgf3YFX3ihm-Vendor-Support-Specialist-My-Mall-Cairo-Egypt?o=452&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Talent Management Specialist - 10th of Ramadan,Confidential -,"10th of Ramadan City, Cairo, Egypt ",11 days ago,Full timeExperienced · 5 - 6 Yrs of Exp · Personnel · Human Resources (HR) · Recruitment · Microsoft Office · HR · English · Communication Skills · Communication · People Management · HR Diploma,https://wuzzuf.net/jobs/p/LCocOOESdrgt-Talent-Management-Specialist---10th-of-Ramadan-Cairo-Egypt?o=453&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Quality Assurance Specialist,INDEVCO,"6th of October, Giza, Egypt ",1 month ago,Full timeExperienced · 3 - 5 Yrs of Exp · quality · Quality Assurance · technical · English · QA · Quality Control · Industrial · Quality,https://wuzzuf.net/jobs/p/3lv4XYbmL9EO-Quality-Assurance-Specialist-INDEVCO-Giza-Egypt?o=454&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
IT Team Leader,Pharmaceutical Egyptian Association,"Heliopolis, Cairo, Egypt ",1 month ago,Full timeManager · 8 - 10 Yrs of Exp · IT · Management · Information Technology (IT) · Software Development · Software · team leader · Engineering · Computer Science · Troubleshooting · Communication,https://wuzzuf.net/jobs/p/jfaErdpqBWmk-IT-Team-Leader-Pharmaceutical-Egyptian-Association-Cairo-Egypt?o=455&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Marketing Head,Confidential -,"Maadi, Cairo, Egypt ",1 month ago,Full timeManager · 4 - 6 Yrs of Exp · Networking · Market Research · Marketing · Research · E-Marketing · Marketing/PR/Advertising · Pharmaceutical,https://wuzzuf.net/jobs/p/3NJJvMV6rFEm-Marketing-Head-Cairo-Egypt?o=456&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Senior Software Quality Control Engineer,Nagwa,"Nasr City, Cairo, Egypt ",14 days ago,Full timeExperienced · 3 - 5 Yrs of Exp · Automation · Software Engineering · Mobile Testing · Software · Agile · Testing · Computer Science · English · Information Technology (IT) · Management,https://wuzzuf.net/jobs/p/cgIZDL63Tawh-Senior-Software-Quality-Control-Engineer-Nagwa-Cairo-Egypt?o=457&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Customer Service Officer,Basata Microfinance Solutions ,"Nasr City, Cairo, Egypt ",1 month ago,Full timeEntry Level · 1 - 2 Yrs of Exp · Customer Service · Customer Care · Customer Support · Sales · Marketing · Customer Service/Support · Sales/Retail,https://wuzzuf.net/jobs/p/iw3hS481SkhM-Customer-Service-Officer-Basata-Microfinance-Solutions-Cairo-Egypt?o=458&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Workforce Staffing Specialist,Confidential -,"Cairo, Egypt ",29 days ago,Full timeExperienced · 2 - 6 Yrs of Exp · Human Resources (HR) · Outsourcing · Recruitment · Communication Skills · Call Center · Workforce · Staffing · Administration · Human Resources,https://wuzzuf.net/jobs/p/UjvmApKqCteo-Workforce-Staffing-Specialist-Cairo-Egypt?o=459&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Sales Admin And Coordinator,Gahez Digital Marketing,"Sheikh Zayed, Giza, Egypt ",9 days ago,Full timeExperienced · 2 - 3 Yrs of Exp · Admin · Administration · Microsoft Office 365 · Communication · Computer Skills · Sales · Administration · Sales/Retail,https://wuzzuf.net/jobs/p/CTg1TiID8Wd4-Sales-Admin-And-Coordinator-Gahez-Digital-Marketing-Giza-Egypt?o=460&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Validation Senior Specialist,European Egyptian Pharmaceutical Industries (EEPI),"Ameria, Alexandria, Egypt ",17 days ago,Full timeExperienced · 3 - 6 Yrs of Exp · Engineering · Pharmaceutical · FMCG · Science · Quality · Validation · English · R&D/Science · Quality · Pharmaceutical,https://wuzzuf.net/jobs/p/4kHJgi9kimUh-Validation-Senior-Specialist-European-Egyptian-Pharmaceutical-Industries-EEPI-Alexandria-Egypt?o=461&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
HSE Executive Officer,FlexFilms Egypt,"6th of October, Giza, Egypt ",1 month ago,Full timeExperienced · 4 - 8 Yrs of Exp · males_only · HSE · Health and Safety · Safety Management · OSHA · Safety · Engineering · EHSE · R&D/Science · Engineering - Other,https://wuzzuf.net/jobs/p/8GmHDocMF09b-HSE-Executive-Officer-FlexFilms-Egypt-Giza-Egypt?o=462&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
OD Specialist - Medical Background,Andalusia Group,"Maadi, Cairo, Egypt ",4 days ago,Full timeEntry Level · 1 - 3 Yrs of Exp · OD · Human Resources (HR) · Hospital · Organization Development · Pharmacy · Dentistry · Recruitment · MEDICINE · HR · Human Resources,https://wuzzuf.net/jobs/p/R2zLegDsRkQT-OD-Specialist---Medical-Background-Andalusia-Group-Cairo-Egypt?o=463&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
System Administrator,CreditGO,"Alexandria, Egypt ",in 1 hour,Full timeExperienced · 3+ Yrs of Exp · Computer Engineering · CCNA · Information Technology (IT) · Installation · ERP · Network Administration · System Administration · Networks · Computer Science · Engineering,https://wuzzuf.net/jobs/p/kYwKJJby3qGC-System-Administrator-CreditGO-Alexandria-Egypt?o=464&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Marketing Executive,Ghamry For Contracting & Real Estate,"New Cairo, Cairo, Egypt ",4 days ago,Full timeEntry Level · 0 - 1 Yrs of Exp · males_only · Marketing · Marketing executive · sales skills · Skills · Market Research · Marketing/PR/Advertising · Sales/Retail,https://wuzzuf.net/jobs/p/LeEdnjsl9nIl-Marketing-Executive-Ghamry-For-Contracting-Real-Estate-Cairo-Egypt?o=465&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Senior .Net Developer,QOAD ,"Sheraton, Cairo, Egypt ",1 month ago,Full timeExperienced · 4+ Yrs of Exp · Software Development · .NET · Information Technology (IT) · Computer Science · javaScript · Angular · SQL · jQuery · Software · MVC,https://wuzzuf.net/jobs/p/ot823bvrx0na-Senior-Net-Developer-QOAD-Cairo-Egypt?o=676&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
SharePoint Developer - Giza,Ekuity Holding,"Giza, Egypt ",27 days ago,Full timeExperienced · 5+ Yrs of Exp · .Net · ASP.Net · Sharepoint · ASP · Computer Science · ERP · Information Technology (IT) · Software · Software Development · Software Testing,https://wuzzuf.net/jobs/p/q58qmZc7N3cB-SharePoint-Developer---Giza-Ekuity-Holding-Giza-Egypt?o=677&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Embedded Software Engineer,ATI Systems,"Cairo, Egypt ",1 month ago,Full timeExperienced · 2 - 5 Yrs of Exp · Software Engineering · RTOS · C++ · UART · CDMA · Software Development · Information Technology (IT) · Embedded Software · Microcontroller · Software Testing,https://wuzzuf.net/jobs/p/3hYzIvz2sHFP-Embedded-Software-Engineer-ATI-Systems-Cairo-Egypt?o=678&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Technical Support Engineer,Docusign,"Cairo, Egypt ",1 month ago,Full timeWork from homeExperienced · 2 - 6 Yrs of Exp · Information Technology (IT) · Technical Support · SQL · Computer Science · HTML · JavaScript · Troubleshooting · HTTP · XML · JSON,https://wuzzuf.net/jobs/p/U0owYbNywtS7-Technical-Support-Engineer-Docusign-Cairo-Egypt?o=679&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
